X,Y
248.3660,909.8039
258.8235,888.8889
300.6536,867.9739
373.8562,873.2026
384.3137,917.6471
342.4837,933.3333
269.2811,964.7059
601.3072,860.1307
575.1634,907.1895
564.7059,951.6340
635.2941,972.5490
737.2549,883.6601
1108.4968,852.2876
1176.4706,849.6732
1223.5295,881.0458
1132.0262,849.6732
1160.7844,888.8889
1152.9412,901.9608
1118.9543,875.8170
1100.6536,922.8758
1168.6275,993.4641
1189.5425,951.6340
1383.0066,1142.4837
1244.4445,1090.1961
1320.2615,1077.1242
1286.2746,1077.1242
1231.3726,1037.9086
1171.2419,1037.9086
1152.9412,1087.5818
1108.4968,1095.4249
1056.2092,1069.2811
1069.2811,993.4641
1105.8824,998.6928
1027.4510,935.9477
1024.8367,912.4183
1079.7386,941.1765
1084.9674,969.9346
1050.9804,962.0915
935.9477,951.6340
951.6340,901.9608
928.1046,883.6601
912.4183,975.1634
807.8431,985.6209
831.3726,938.5621
909.8039,1027.4510
888.8889,1006.5360
912.4183,998.6928
930.7190,1027.4510
962.0915,1001.3072
1003.9216,1001.3072
993.4641,980.3922
847.0588,873.2026
815.6863,865.3595
784.3137,925.4902
810.4575,928.1046
818.3007,920.2614
815.6863,899.3464
763.3987,1003.9216
763.3987,1048.3661
805.2288,1074.5099
771.2418,1100.6536
737.2549,1069.2811
695.4249,1095.4249
687.5817,1019.6079
690.1961,996.0784
669.2811,1019.6079
640.5229,1056.2092
619.6079,1048.3661
575.1634,1037.9086
661.4379,1113.7255
622.2222,1103.2680
562.0915,1129.4118
551.6340,1095.4249
603.9216,1173.8563
509.8040,1168.6275
491.5033,1194.7713
488.8889,1069.2811
491.5033,996.0784
491.5033,933.3333
460.1307,949.0196
413.0719,951.6340
394.7712,972.5490
352.9412,1027.4510
415.6863,1027.4510
433.9869,1064.0523
397.3856,1064.0523
305.8824,1066.6667
269.2811,1045.7517
271.8954,1019.6079
219.6078,1001.3072
177.7778,1019.6079
146.4052,1066.6667
109.8039,1105.8824
44.4444,1121.5687
73.2026,1027.4510
41.8301,1003.9216
935.9477,1121.5687
956.8627,1121.5687
1024.8367,1152.9412
1066.6667,1142.4837
1079.7386,1155.5556
1087.5818,1132.0262
1150.3268,1179.0850
1184.3138,1181.6994
1296.7321,1186.9282
1325.4902,1202.6144
1375.1634,1226.1438
1320.2615,1247.0589
1307.1896,1260.1308
1239.2157,1265.3595
1328.1046,1320.2615
1364.7059,1278.4314
1430.0654,1278.4314
1474.5098,1270.5883
1479.7386,1299.3464
1529.4118,1325.4902
1474.5098,1341.1765
1414.3791,1335.9478
1380.3922,1364.7059
292.8105,1100.6536
203.9216,1090.1961
180.3922,1176.4706
177.7778,1226.1438
211.7647,1205.2288
104.5752,1231.3726
109.8039,1270.5883
36.6013,1228.7582
73.2026,1194.7713
31.3726,1346.4053
31.3726,1330.7190
83.6601,1320.2615
167.3203,1317.6471
444.4444,1301.9608
379.0850,1244.4445
363.3987,1231.3726
418.3007,1213.0719
303.2680,1247.0589
261.4379,1176.4706
324.1830,1155.5556
368.6275,1168.6275
407.8431,1152.9412
394.7712,1118.9543
716.3399,1220.9151
768.6275,1241.8301
766.0131,1286.2746
729.4118,1275.8170
831.3726,1294.1177
839.2157,1247.0589
886.2745,1228.7582
881.0458,1205.2288
847.0588,1200.0000
930.7190,1205.2288
805.2288,1160.7844
750.3268,1129.4118
635.2941,1249.6732
606.5360,1233.9870
575.1634,1267.9739
525.4902,1320.2615
499.3464,1367.3203
499.3464,1367.3203
962.0915,1296.7321
1003.9216,1270.5883
1024.8367,1247.0589
1014.3791,1307.1896
1090.1961,1315.0327
977.7778,1343.7909
993.4641,1385.6210
930.7190,1406.5360
1087.5818,1364.7059
1139.8693,1351.6340
1189.5425,1362.0915
1189.5425,1320.2615
1244.4445,1341.1765
1312.4183,1383.0066
1349.0196,1390.8497
1466.6667,1466.6667
1464.0523,1477.1242
1500.6536,1487.5817
1526.7974,1466.6667
1511.1111,1437.9085
1571.2419,1419.6079
1537.2549,1372.5491
1537.2549,1372.5491
1649.6732,1435.2942
1649.6732,1435.2942
1500.6536,1633.9869
1492.8105,1688.8889
1552.9412,1649.6732
1545.0981,1539.8693
1600.0000,1547.7124
1688.8889,1581.6994
1309.8040,1665.3595
1288.8889,1639.2157
1335.9478,1594.7713
1380.3922,1618.3007
1396.0785,1581.6994
1430.0654,1576.4706
1419.6079,1550.3268
1416.9935,1615.6863
1456.2092,1631.3726
1411.7647,1738.5621
1364.7059,1730.7190
1338.5621,1743.7909
1296.7321,1733.3333
1294.1177,1772.5490
1265.3595,1788.2353
1288.8889,1879.7386
1320.2615,1843.1373
1390.8497,1895.4248
1390.8497,1850.9804
1304.5752,1979.0850
1377.7778,1989.5425
1435.2942,1992.1569
1409.1504,1981.6993
1223.5295,1960.7843
1163.3987,1929.4118
1218.3007,1874.5098
1137.2550,1874.5098
1108.4968,1850.9804
1129.4118,1801.3072
1113.7255,1749.0196
1142.4837,1738.5621
1173.8563,1704.5752
1220.9151,1735.9477
1168.6275,1665.3595
1205.2288,1626.1438
1239.2157,1647.0588
1270.5883,1584.3138
1291.5033,1545.0981
1273.2027,1505.8824
1317.6471,1479.7386
1328.1046,1461.4379
1341.1765,1477.1242
1375.1634,1445.7517
1414.3791,1411.7647
1440.5229,1403.9216
1223.5295,1495.4249
1160.7844,1508.4968
1150.3268,1479.7386
1150.3268,1466.6667
1168.6275,1424.8366
1071.8955,1482.3530
1084.9674,1505.8824
1113.7255,1539.8693
1066.6667,1547.7124
1077.1242,1566.0131
1037.9086,1589.5425
1035.2942,1555.5556
1003.9216,1529.4118
972.5490,1492.8105
993.4641,1466.6667
1035.2942,1453.5948
920.2614,1495.4249
867.9739,1445.7517
789.5425,1393.4641
750.3268,1466.6667
721.5686,1406.5360
664.0523,1422.2223
669.2811,1403.9216
669.2811,1403.9216
596.0785,1375.1634
551.6340,1411.7647
606.5360,1432.6798
650.9804,1456.2092
716.3399,1518.9543
726.7974,1469.2811
616.9935,1477.1242
564.7059,1477.1242
564.7059,1477.1242
501.9608,1466.6667
460.1307,1443.1373
384.3137,1477.1242
376.4706,1440.5229
329.4118,1411.7647
271.8954,1388.2353
287.5817,1435.2942
219.6078,1466.6667
198.6928,1424.8366
5.2288,1406.5360
44.4444,1416.9935
156.8628,1396.0785
138.5621,1396.0785
104.5752,1508.4968
70.5882,1511.1111
15.6863,1529.4118
0.0000,1539.8693
41.8301,1571.2419
120.2614,1563.3987
141.1765,1623.5294
196.0784,1581.6994
164.7059,1550.3268
230.0654,1542.4837
284.9673,1539.8693
347.7124,1550.3268
334.6405,1524.1830
371.2418,1521.5687
407.8431,1537.2549
512.4183,1511.1111
141.1765,1464.0523
31.3726,1644.4445
10.4575,1728.1046
78.4314,1712.4183
120.2614,1701.9608
159.4771,1699.3464
219.6078,1657.5164
250.9804,1686.2745
324.1830,1610.4575
366.0131,1707.1896
227.4510,1725.4902
271.8954,1730.7190
125.4902,1780.3922
47.0588,1811.7647
70.5882,1796.0784
15.6863,1790.8497
31.3726,1864.0523
62.7451,1945.0980
75.8170,1900.6536
91.5033,1884.9673
125.4902,1835.2941
156.8628,1905.8824
146.4052,1968.6275
227.4510,1986.9281
282.3530,1981.6993
324.1830,1918.9543
287.5817,1895.4248
318.9543,1874.5098
237.9085,1879.7386
214.3791,1853.5948
381.6994,1884.9673
410.4575,1845.7516
363.3987,1827.4510
428.7582,1811.7647
436.6013,1769.9347
454.9020,1756.8628
494.1176,1788.2353
541.1765,1801.3072
590.8497,1806.5360
522.8758,1864.0523
556.8628,1900.6536
470.5882,1908.4967
481.0458,1610.4575
467.9739,1560.7843
467.9739,1586.9281
522.8758,1576.4706
549.0196,1555.5556
585.6209,1542.4837
611.7647,1555.5556
569.9347,1600.0000
564.7059,1639.2157
507.1896,1701.9608
522.8758,1686.2745
431.3726,1696.7320
447.0588,1662.7451
457.5163,1701.9608
616.9935,1720.2615
658.8235,1657.5164
700.6536,1626.1438
687.5817,1694.1177
674.5098,1759.4771
656.2092,1759.4771
674.5098,1811.7647
692.8105,1858.8235
711.1111,1884.9673
711.1111,1908.4967
763.3987,1947.7124
818.3007,1960.7843
870.5882,1984.3137
865.3595,1942.4837
826.1438,1913.7255
907.1895,1911.1111
928.1046,1979.0850
998.6928,1971.2418
1048.3661,1992.1569
870.5882,1895.4248
875.8170,1869.2811
828.7582,1864.0523
807.8431,1835.2941
760.7843,1822.2222
867.9739,1790.8497
844.4445,1754.2484
776.4706,1652.2876
847.0588,1665.3595
860.1307,1709.8039
930.7190,1730.7190
901.9608,1722.8758
985.6209,1749.0196
980.3922,1725.4902
1053.5948,1756.8628
962.0915,1843.1373
1100.6536,1678.4314
1071.8955,1696.7320
1027.4510,1722.8758
1003.9216,1654.9020
962.0915,1639.2157
922.8758,1654.9020
899.3464,1618.3007
891.5033,1581.6994
894.1177,1550.3268
1139.8693,1602.6144
1168.6275,1573.8562
